"species","filter","methodPA","nPA","initial","cleaned","x","y","min_geom","AUC","TSS","OUC","boyce","COI"
"Morusnigra","control","random","1000",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.866326848249027,0.627657976653696,0.116508181389611,0.383963494132986,NA
"Morusnigra","country","disk","1000",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.970715748031496,0.906818897637795,0.203091061713448,0.580834419817471,NA
"Morusnigra","country","disk","Npresences",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.96624768683274,0.897747330960854,0.18606267698944,0.644719687092569,NA
"Morusnigra","country","random","1000",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.821217557251908,0.521648854961832,0.134283228831764,0.40026075619296,NA
"Morusnigra","pixel","disk","1000",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.948596226415094,0.841411320754717,0.204961964622254,0.305736636245111,NA
"Morusnigra","pixel","disk","Npresences",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.944537906137184,0.828386281588448,0.22189677153841,0.353976531942634,NA
"Myrtuscommun","control","disk","1000",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.964879505300353,0.909618021201413,0.0726852965801367,0.674706649282921,NA
"Myrtuscommun","control","disk","Npresences",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.983297986577181,0.956690604026846,0.0366088469406753,0.535202086049544,NA
"Myrtuscommun","control","random","1000",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.923607913669065,0.779798561151079,0.0833285065548016,0.761408083441982,NA
"Myrtuscommun","control","random","Npresences",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.93763,0.81531,0.0494366822829283,0.790091264667536,NA
"Myrtuscommun","country","disk","1000",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.961673214285714,0.910886428571429,0.0754071641732545,0.640808344198175,NA
"Myrtuscommun","country","disk","Npresences",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.979863,0.950569333333333,0.066618689213892,0.535853976531943,NA
"Myrtuscommun","country","random","1000",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.887096551724138,0.67931724137931,0.075570693978249,0.820730117340287,NA
"Myrtuscommun","country","random","Npresences",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.917379310344828,0.740255172413793,0.0405819026289975,0.849413298565841,NA
"Myrtuscommun","pixel","disk","1000",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.963601838235294,0.909536397058823,0.0626165639796753,0.692959582790091,NA
"Myrtuscommun","pixel","disk","Npresences",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.978449655172414,0.945193103448276,0.0504953799019474,0.548891786179922,NA
"Myrtuscommun","pixel","random","1000",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.916036231884058,0.755601449275362,0.0679171833678648,0.750977835723599,NA
"Myrtuscommun","pixel","random","Npresences",-0.790623820857934,-0.71804200958562,0.336055851709622,-0.809540993524923,-0.458594705278837,0.93236,0.788943333333333,0.0327116769208492,0.771186440677966,NA
"Oleaeuropaea","control","disk","1000",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.994664,0.9710836,0.028138231678837,0.734680573663624,NA
"Oleaeuropaea","control","disk","Npresences",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.977472108843537,0.944204081632653,0.0470269584653893,0.739243807040417,NA
"Oleaeuropaea","control","random","1000",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.958848,0.855424,0.0316975634930053,0.698826597131682,NA
"Oleaeuropaea","control","random","Npresences",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.936006779661017,0.822,0.0513939772691394,0.690352020860496,NA
"Oleaeuropaea","country","disk","1000",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.9969244,0.978336,0.0509985987825631,0.702737940026076,NA
"Oleaeuropaea","country","disk","Npresences",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.963999259259259,0.919488518518519,0.094902867433072,0.779661016949153,NA
"Oleaeuropaea","country","random","1000",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.923688,0.754496,0.0527583406188656,0.770534550195567,NA
"Oleaeuropaea","country","random","Npresences",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.91271237458194,0.736297658862876,0.0603921993452275,0.741851368970013,NA
"Oleaeuropaea","pixel","disk","1000",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.993812096774194,0.968762096774194,0.0300809374547489,0.713168187744459,NA
"Oleaeuropaea","pixel","disk","Npresences",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.967979180887372,0.925481228668942,0.0622031667296326,0.741851368970013,NA
"Oleaeuropaea","pixel","random","1000",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.948632,0.826572,0.0370101590986046,0.68122555410691,NA
"Oleaeuropaea","pixel","random","Npresences",0.602364872491767,-0.107415291637272,-1.29419149087999,-0.712380640088655,-0.458880583664874,0.928512915129151,0.791793357933579,0.0365069402179889,0.691655801825293,NA
"Osyrisalba","control","disk","1000",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.972603191489362,0.935900354609929,0.0410399929449192,0.651238591916558,0.837114652342373
"Osyrisalba","control","disk","Npresences",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.979168,0.948692666666667,0.0448861551660503,0.665580182529335,0.866361814881765
"Osyrisalba","control","random","1000",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.9226875,0.798493402777778,0.0484804357601142,0.689048239895698,0.831746866173237
"Osyrisalba","control","random","Npresences",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.946031034482759,0.847051724137931,0.0394284840177379,0.670143415906128,0.872393706349469
"Osyrisalba","country","disk","1000",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.958576845637584,0.906669798657718,0.101766873129396,0.726205997392438,0.824734869136912
"Osyrisalba","country","disk","Npresences",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.978733666666667,0.947422,0.0838218722747301,0.671447196870926,0.861006097723111
"Osyrisalba","country","random","1000",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.896785234899329,0.720114093959732,0.0840104432615813,0.63754889178618,0.828015538425573
"Osyrisalba","country","random","Npresences",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.92425,0.76982,0.0434234235215087,0.696870925684485,0.897070521293329
"Osyrisalba","pixel","disk","1000",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.965697543859649,0.92054701754386,0.0680487040099642,0.66232073011734,0.840791105084249
"Osyrisalba","pixel","disk","Npresences",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.980099659863946,0.949560204081633,0.0411225744076944,0.634941329856584,0.880383637086378
"Osyrisalba","pixel","random","1000",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.915957446808511,0.776145390070922,0.0667840698888498,0.666883963494133,0.834164040761712
"Osyrisalba","pixel","random","Npresences",-0.782563691488213,-0.722712802191264,-0.191017964329379,-0.703035451735932,-1.1405147134116,0.935143344709898,0.815972696245734,0.0363200023516936,0.649282920469361,0.88776656545547
"Phillyreaang","control","disk","1000",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.972126,0.927116666666667,0.0659701226038038,0.595827900912647,NA
"Phillyreaang","control","disk","Npresences",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.983596206896552,0.950186206896552,0.0403568041790466,0.554758800521512,NA
"Phillyreaang","control","random","1000",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.938803448275862,0.81711724137931,0.0730895483550665,0.655801825293351,NA
"Phillyreaang","control","random","Npresences",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.94949,0.83991,0.0415996089220642,0.664928292046936,NA
"Phillyreaang","country","disk","1000",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.966504198473282,0.901973282442748,0.0916732082217821,0.660365058670143,NA
"Phillyreaang","country","disk","Npresences",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.975386,0.924613333333333,0.0777493856744842,0.727509778357236,NA
"Phillyreaang","country","random","1000",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.907737226277372,0.716343065693431,0.08106135416179,0.745110821382008,NA
"Phillyreaang","country","random","Npresences",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.925403333333333,0.754863333333333,0.0462603716764636,0.791395045632334,NA
"Phillyreaang","pixel","disk","1000",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.973493448275862,0.923837931034483,0.0617967374606282,0.600391134289439,NA
"Phillyreaang","pixel","disk","Npresences",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.979621875,0.940559027777778,0.0463385981510898,0.570404172099087,NA
"Phillyreaang","pixel","random","1000",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.933037162162162,0.795364864864865,0.066208939266424,0.638852672750978,NA
"Phillyreaang","pixel","random","Npresences",-0.735882460552166,-0.718936166356474,-0.68460657597169,-0.751697432937354,-0.465884604122774,0.941447916666667,0.809753472222222,0.0388660917356479,0.624511082138201,NA
"Phillyrealat","control","disk","1000",-0.795080101807894,-0.749349261786167,-0.0404086119579781,-0.604367558536219,-0.477033861178208,0.976505666666667,0.943799,0.0551338233420832,0.582790091264668,NA
"Phillyrealat","control","disk","Npresences",-0.795080101807894,-0.749349261786167,-0.0404086119579781,-0.604367558536219,-0.477033861178208,0.98029,0.950934285714286,0.0467306015218506,0.569752281616688,NA
"Phillyrealat","control","random","1000",-0.795080101807894,-0.749349261786167,-0.0404086119579781,-0.604367558536219,-0.477033861178208,0.94022,0.817484,0.0603324271328827,0.752281616688396,NA
